sabotage_type,count_received,min_winning_bid,max_winning_bid,avg_winning_bid,med_winning_bid
distraction,34,500.0,13200.0,4574.193548387097,4000.0
equipment,95,500.0,16200.0,5804.0,5300.0
exclusivity,7,3600.0,10100.0,5875.0,4900.0
ingredients,141,500.0,12000.0,4820.618556701031,4300.0
